Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Dy-704,140000,40,44,2,13,3.0,0.0,5.0,3.0,3.0,4,1.0,1.0,1.0,2.0
Dy-705,140000,39,43,2,9,2.0,0.0,5.0,2.0,3.0,4,1.0,1.0,1.0,1.0
Dy-706,140000,39,42,2,12,3.0,0.0,4.0,3.0,3.0,4,1.0,1.0,1.0,2.0
Dy-720,140000,45,52,3,10,2.0,0.0,5.0,2.0,4.0,3,1.0,1.0,1.0,2.0
Dy-730,240000,38,48,2,6,1.0,0.0,7.0,1.0,2.0,6,1.0,1.0,1.0,1.0
Dy-731,240000,38,47,2,9,2.0,0.0,6.0,2.0,2.0,6,1.0,1.0,1.0,2.0
Dy-732,240000,39,48,2,12,3.0,0.0,5.0,3.0,2.0,6,1.0,1.0,1.0,3.0
Dy-734,240000,40,49,2,15,4.0,0.0,3.0,4.0,2.0,6,1.0,1.0,1.0,4.0
Dy-736,240000,40,47,2,9,2.0,0.0,4.0,2.0,2.0,6,1.0,3.0,1.0,2.0
Dy-747P1,240000,36,43,2,9,2.0,0.0,5.0,2.0,2.0,8,1.0,2.0,0.0,2.0
Dy-749P1,240000,40,49,2,15,4.0,0.0,3.0,4.0,2.0,8,1.0,2.0,0.0,4.0
Dy-751,270000,42,51,2,9,2.0,0.0,8.0,2.0,2.0,6,1.0,2.0,1.0,2.0
Dy-752,270000,43,52,2,12,3.0,0.0,7.0,3.0,2.0,6,1.0,2.0,1.0,3.0
Dy-754,270000,43,51,2,15,4.0,0.0,6.0,4.0,2.0,6,1.0,2.0,1.0,4.0
Dy-765,130000,51,53,3,13,3.0,0.0,7.0,3.0,5.0,3,1.0,2.0,1.0,1.0
Dy-776,240000,44,47,2,9,2.0,0.0,5.0,2.0,3.0,6,1.0,2.0,1.0,2.0
Dy-777,240000,45,48,2,12,3.0,0.0,4.0,3.0,3.0,6,1.0,2.0,1.0,3.0
Dy-778,240000,45,47,2,15,4.0,0.0,3.0,4.0,3.0,6,1.0,2.0,1.0,3.0
Dy-780,170000,38,48,2,6,1.0,0.0,7.0,1.0,2.0,6,1.0,1.0,1.0,1.0
Dy-781,170000,38,47,2,9,2.0,0.0,6.0,2.0,2.0,6,1.0,1.0,1.0,1.0
Dy-782,170000,39,48,2,12,3.0,0.0,5.0,3.0,2.0,6,1.0,1.0,1.0,3.0
Dy-784,170000,48,49,2,15,4.0,0.0,4.0,4.0,4.0,6,1.0,1.0,1.0,2.0
Dy-805,150000,44,47,2,11,2.0,0.0,3.0,2.0,4.0,5,1.0,1.0,1.0,2.0
Dy-820,200000,47,54,3,10,2.0,0.0,5.0,2.0,4.0,5,1.0,1.0,1.0,2.0
Dy-831,220000,40,49,2,9,2.0,0.0,6.0,2.0,2.0,8,1.0,1.0,1.0,1.0
Dy-845,160000,51,57,3,13,3.0,0.0,6.0,3.0,4.0,5,1.0,2.0,1.0,2.0
Dy-865,190000,53,55,3,13,3.0,0.0,7.0,3.0,5.0,5,1.0,2.0,1.0,1.0
Dy-480XL,50000,26,30,2,7,2.0,0.0,2.0,1.0,1.0,3,1.0,1.0,1.0,1.0
Dy-481XL,50000,27,31,2,10,2.0,0.0,1.0,2.0,1.0,3,1.0,1.0,1.0,2.0
Dy-585XL,50000,25,30,2,7,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0
