Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Sulforhodamine 101,110000,31,30,2,7,,,,,,0,,,,
Tetraphenylmethane,1910,25,20,0,0,,,,,,0,,,,
Tetracyanoethylene,14500,6,0,4,0,,,,,,0,,,,
Tetrachlorohydroquinone,39900,6,2,0,2,,,,,,0,,,,
Tetracene,10000,18,12,0,0,,,,,,0,,,,
Tetrabenzoporphine,66100,36,22,4,0,,,,,,0,,,,
Terephthalic acid,17000,8,6,0,4,,,,,,0,,,,
Sulforhodamine B,99000,27,30,2,7,,,,,,0,,,,
Triphenylene,146000,18,12,0,0,,,,,,0,,,,
"Tris(2,2'-bipyridyl)ruthenium(II)",87000,30,24,6,0,,,,,,0,,,,
Uracil,8200,4,4,2,2,,,,,,0,,,,
Urolithin B,11300,13,8,0,3,,,,,,0,,,,
Vanillin,9770,8,8,0,3,,,,,,0,,,,
Vitamin K1,18600,31,46,0,2,,,,,,0,,,,
Xantphos,23700,39,32,0,1,,,,,,0,,,,
ZnPc,281800,32,16,8,0,,,,,,0,,,,
