,linear_reg_dyomics_data_basic_features_FPR,linear_reg_dyomics_data_basic_features_TPR
0,0.0,0.0
1,0.0,0.058823529411764705
2,0.0,0.11764705882352941
3,0.0,0.17647058823529413
4,0.0,0.23529411764705882
5,0.0,0.29411764705882354
6,0.0,0.35294117647058826
7,0.0,0.47058823529411764
8,0.07142857142857142,0.47058823529411764
9,0.07142857142857142,0.5294117647058824
10,0.07142857142857142,0.5882352941176471
11,0.07142857142857142,0.6470588235294118
12,0.07142857142857142,0.7058823529411765
13,0.07142857142857142,0.7647058823529411
14,0.07142857142857142,0.8235294117647058
15,0.14285714285714285,0.8235294117647058
16,0.21428571428571427,0.8235294117647058
17,0.2857142857142857,0.8235294117647058
18,0.35714285714285715,0.8235294117647058
19,0.35714285714285715,0.8823529411764706
20,0.35714285714285715,0.9411764705882353
21,0.35714285714285715,1.0
22,0.42857142857142855,1.0
23,0.5,1.0
24,0.5714285714285714,1.0
25,0.6428571428571429,1.0
26,0.7142857142857143,1.0
27,0.7857142857142857,1.0
28,0.8571428571428571,1.0
29,0.9285714285714286,1.0
30,1.0,1.0
