,linear_reg_dyomics_data_all_features_y_val,linear_reg_dyomics_data_all_features_y_pred
0,150.0,184.24899006308416
1,140.0,186.6466538321935
2,110.0,121.64826388554972
3,50.0,57.23359439259153
4,100.0,78.93656912332662
5,190.0,178.0467157740589
6,200.0,202.1258586456207
7,220.0,214.4501378287419
8,220.0,208.14196868113953
9,170.0,169.48631801980545
10,250.0,169.0534935729669
11,240.0,214.7127818057724
12,140.0,142.59939753609456
13,120.0,76.83580621263675
14,180.0,157.41698240349805
15,240.0,202.60472568526467
16,270.0,229.22900219194506
17,80.0,77.68492975170435
18,170.0,225.64163043641213
19,220.0,170.06355558975844
20,200.0,153.84620299126652
21,90.0,28.298236486280558
22,100.0,93.99532195352337
23,50.0,86.69665869774106
24,180.0,187.8258613220615
25,150.0,183.8217825991398
26,220.0,191.77267834116194
27,140.0,153.02333357912843
28,140.0,171.4617102559655
29,120.0,99.3496913185256
30,140.0,169.11507994091673
