experiment,r2,accuracy,precision,recall,f1,auc
linear_reg_all_data_all_features,0.5563164722735072,0.9327731092436975,0.8,0.8,0.8000000000000002,0.9527777777777778
linear_reg_all_data_basic_features,0.41657330640693113,0.9243697478991597,0.8666666666666667,0.65,0.7428571428571429,0.9224747474747474
linear_reg_all_data_essential_features,0.4657333879623202,0.8907563025210085,0.7692307692307693,0.5,0.6060606060606061,0.9194444444444444
linear_reg_all_data_baseline_negative,,0.8319327731092437,0.0,0.0,0.0,0.5
linear_reg_dyomics_data_basic_features,0.5417393274395994,0.8064516129032258,0.7619047619047619,0.9411764705882353,0.8421052631578947,0.9117647058823528
linear_reg_dyomics_data_all_features,0.667389327260532,0.8709677419354839,0.8095238095238095,1.0,0.8947368421052632,0.9327731092436975
logit_reg_all_data_all_features,,0.9159663865546218,0.7272727272727273,0.8,0.761904761904762,0.9462121212121213
logit_reg_all_data_basic_features,,0.9159663865546218,0.8125,0.65,0.7222222222222223,0.9184343434343434
logit_reg_all_data_basic_features_balanced,,0.7815126050420168,0.42105263157894735,0.8,0.5517241379310345,0.9255050505050504
