,linear_reg_all_data_basic_features_y_val,linear_reg_all_data_basic_features_y_pred
0,22.4,-0.806605730777818
1,67.0,64.73704309803753
2,14.7,16.868440138325155
3,127.0,109.48128258827005
4,13.1,10.296093787406164
5,108.0,122.61097058033337
6,240.0,154.5879381266936
7,8.47,17.362007823781497
8,36.0,42.36658783039083
9,39.8,27.220464448790445
10,107.0,25.272123564499964
11,35.0,105.3813141717036
12,12.8,17.942589426993607
13,33.8,44.35536541583383
14,18.2,23.47065057778397
15,100.0,138.72604099914219
16,13.2,7.578889361692745
17,17.6,12.654922670402172
18,46.8,27.92456243990589
19,220.0,162.88641930140835
20,50.0,106.73862664290833
21,166.0,130.86791191167273
22,326.0,87.57009882037788
23,90.4,27.414281626386128
24,80.6,57.96473905407213
25,50.0,98.44014546819355
26,13.3,22.062454595553078
27,5.62,11.276590776711117
28,29.0,27.92456243990589
29,100.0,127.41281117529908
30,2.86,15.383802850951184
31,23.1,37.38027259003993
32,75.8,92.15366758585387
33,270.0,176.88305523142012
34,136.0,94.18508815689516
35,180.0,156.31296980826647
36,200.0,186.11939040984154
37,14.5,1.9753642452430995
38,170.0,181.20841333241083
39,200.0,155.33467910340732
40,100.0,120.23001913262814
41,14.3,8.400968501326673
42,50.0,106.73862664290833
43,25.3,63.42249941517015
44,7.9,12.814443662296064
45,77.6,30.718208170762402
46,200.0,147.40514608402265
47,200.0,160.9042800975731
48,7.5,15.583760543997606
49,27.0,17.478885830077097
50,17.6,96.7959871889257
51,75.0,44.268351498078054
52,54.0,73.20451473503603
53,0.49,18.471058574217615
54,0.214,43.874576627435964
55,220.0,82.53560535504386
56,0.77,21.08195760624814
57,149.0,68.17002126970199
58,80.0,137.4945770030256
59,34.0,81.55731465018468
60,27.5,299.35821963892363
61,50.0,99.92478275556752
62,86.0,111.6106422248273
63,85.0,120.54575168974728
64,93.0,126.24390644504425
65,8.14,10.959755077369095
66,40.7,53.51082719195022
67,56.8,27.92456243990589
68,240.0,155.70362725873744
69,140.0,174.0256212897399
70,50.1,26.516366457674998
71,220.0,169.7002631887492
72,22.4,29.485641032422947
73,0.009,10.719360683170152
74,35.6,40.73127421717646
75,107.0,35.84131656223209
76,0.254,21.08195760624814
77,10.0,40.14184794791085
78,34.8,56.49177752153375
79,110.0,107.34796919243738
80,25.2,71.44666207340214
81,63.0,56.44507450219141
82,80.0,138.8506605292684
83,9.3,12.814443662296064
84,210.0,80.38730677770695
85,99.9,28.705101736164416
86,5.579,34.36281979030884
87,3.4,12.127430862661981
88,54.0,69.40258840804145
89,18.4,13.558978354564033
90,7.8,16.457952139619636
91,80.0,145.6229645732338
92,309.0,64.57862524836654
93,27.6,29.98978133049198
94,8.57,18.88818495453087
95,408.0,139.2118671607679
96,34.0,54.39276031140287
97,140.0,147.40514608402265
98,23.5,48.117958183898764
99,140.0,148.76122961026545
100,10.2,34.203298798414956
101,52.5,63.7044336527445
102,81.7,32.95905590523992
103,56.8,65.14753109674307
104,62.5,79.02508273601343
105,0.28,7.578889361692745
106,24.0,53.09530182001684
107,12.3,31.633939609759842
108,55.0,124.34878115896474
109,200.0,172.1720358470358
110,0.096,24.051232180996088
111,6.1,9.381465490631598
112,28.0,36.762085374457385
113,160.0,201.60066362722725
114,19.0,19.01673871566205
115,270.0,170.0692113440793
116,75.0,73.20451473503603
117,12.5,21.165037292998946
118,26.3,138.67798857689812
