,linear_reg_all_data_all_features_y_val,linear_reg_all_data_all_features_y_pred
0,22.4,7.75814058338311
1,67.0,52.79201985859586
2,14.7,12.716462420335752
3,127.0,73.41108787737384
4,13.1,15.40100964303307
5,108.0,87.34232061761836
6,240.0,200.49670262727886
7,8.47,15.332946479294108
8,36.0,36.70662879986849
9,39.8,25.335896680648816
10,107.0,29.737632745968476
11,35.0,88.15291835734827
12,12.8,13.322272262346743
13,33.8,30.612644735691312
14,18.2,18.611161930695815
15,100.0,87.61816103473495
16,13.2,8.451451088996066
17,17.6,11.954490344481783
18,46.8,23.29424175703391
19,220.0,168.71781224749702
20,50.0,123.62284791204027
21,166.0,91.83215575304203
22,326.0,171.68984408217318
23,90.4,32.19191470818113
24,80.6,49.86321133195153
25,50.0,62.653340388570825
26,13.3,22.694471777925635
27,5.62,24.617046924768978
28,29.0,23.29424175703391
29,100.0,84.63343095765825
30,2.86,11.155435811556387
31,23.1,30.881787672753553
32,75.8,63.80120343975155
33,270.0,213.46063887494955
34,136.0,135.25945298922286
35,180.0,187.42915740589206
36,200.0,206.09395006650635
37,14.5,28.100648680391686
38,170.0,221.94024333109837
39,200.0,164.70920383341092
40,100.0,80.74940566424556
41,14.3,12.884766267485332
42,50.0,123.62284791204027
43,25.3,48.265102266100754
44,7.9,19.260094092680944
45,77.6,35.88813676708009
46,200.0,159.51331817256562
47,200.0,207.9280863091555
48,7.5,16.76879156089803
49,27.0,19.285034936445776
50,17.6,53.78671003159231
51,75.0,35.239803011597026
52,54.0,89.72307517274679
53,0.49,20.752459131219283
54,0.214,22.770429234723075
55,220.0,206.11679763408296
56,0.77,13.478434496189728
57,149.0,124.15002872465656
58,80.0,140.40154947638058
59,34.0,53.54908699705007
60,27.5,212.97259395912045
61,50.0,119.86340573930096
62,86.0,100.21146031513064
63,85.0,87.79196822578635
64,93.0,90.11496691041968
65,8.14,15.051602718275674
66,40.7,45.180131505613446
67,56.8,23.29424175703391
68,240.0,201.93314611538483
69,140.0,180.95685887638513
70,50.1,27.37755160426373
71,220.0,172.4772544202363
72,22.4,30.49960482182245
73,0.009,11.130494967791563
74,35.6,28.90269256897578
75,107.0,33.71585885988908
76,0.254,13.478434496189728
77,10.0,29.850672659837336
78,34.8,40.55357163620978
79,110.0,72.01950004124701
80,25.2,75.43318420297499
81,63.0,71.54802398405934
82,80.0,145.75910071497069
83,9.3,19.260094092680944
84,210.0,130.70645962746
85,99.9,26.89692328942818
86,5.579,30.91216997291904
87,3.4,35.10672719136311
88,54.0,55.339842347313194
89,18.4,15.526191170208513
90,7.8,11.761245653567372
91,80.0,148.687909241615
92,309.0,48.00929775534921
93,27.6,22.84459414886591
94,8.57,17.72460673416846
95,408.0,91.69483261256
96,34.0,38.71239807941609
97,140.0,159.51331817256562
98,23.5,32.111648043634425
99,140.0,164.87086941115572
100,10.2,23.606566224719884
101,52.5,53.01684366267986
102,81.7,25.966647366424638
103,56.8,53.74723662536424
104,62.5,52.39285234445956
105,0.28,8.451451088996066
106,24.0,47.99045866198825
107,12.3,31.711224505844427
108,55.0,87.59872353487194
109,200.0,216.37060830823287
110,0.096,16.600487713748457
111,6.1,22.100803549221247
112,28.0,81.422441417461
113,160.0,215.29844414143776
114,19.0,13.928082104357728
115,270.0,209.7011967022102
116,75.0,89.72307517274679
117,12.5,15.139701788379696
118,26.3,62.711054481657804
