,linear_reg_all_data_essential_features_y_val,linear_reg_all_data_essential_features_y_pred
0,22.4,5.260335158842139
1,67.0,64.3675725971873
2,14.7,13.916966223548378
3,127.0,161.07969432355463
4,13.1,9.09225735299573
5,108.0,124.46759671193152
6,240.0,142.7736455177431
7,8.47,18.245281755901516
8,36.0,43.222388273621206
9,39.8,30.733835014761354
10,107.0,30.23744167656183
11,35.0,106.16154790611996
12,12.8,13.916966223548378
13,33.8,57.20012154707963
14,18.2,26.901912820607755
15,100.0,129.29230558248418
16,13.2,5.260335158842139
17,17.6,13.916966223548378
18,46.8,39.88685941766713
19,220.0,151.43027658244932
20,50.0,95.1621746618587
21,166.0,133.12422777663778
22,326.0,95.1621746618587
23,90.4,65.8567526117859
24,80.6,60.039257064834175
25,50.0,86.50554359715245
26,13.3,8.595864014796206
27,5.62,3.7711551442435507
28,29.0,39.88685941766713
29,100.0,120.63567451777793
30,2.86,9.58865069119527
31,23.1,48.543490482373386
32,75.8,86.00915025895293
33,270.0,164.4152231795087
34,136.0,86.50554359715245
35,180.0,160.08690764715558
36,200.0,181.23209197072168
37,14.5,3.274761806044012
38,170.0,186.0568008412743
39,200.0,138.44532998538995
40,100.0,111.97904345307168
41,14.3,0.4356262882894839
42,50.0,95.1621746618587
43,25.3,51.38262600012792
44,7.9,-0.06076704991004078
45,77.6,29.741048338362297
46,200.0,134.11701445303683
47,200.0,151.43027658244932
48,7.5,9.09225735299573
49,27.0,17.748888417701984
50,17.6,96.15496133825776
51,75.0,65.8567526117859
52,54.0,77.8489125324462
53,0.49,4.267548482443075
54,0.214,31.230228352960886
55,220.0,86.50554359715245
56,0.77,13.916966223548378
57,149.0,69.19228146773996
58,80.0,116.3073589854248
59,34.0,64.86396593538683
60,27.5,245.02481376817684
61,50.0,90.83385912950558
62,86.0,123.47481003553247
63,85.0,124.46759671193152
64,93.0,128.79591224428464
65,8.14,4.7639418206426
66,40.7,47.0543104677748
67,56.8,39.88685941766713
68,240.0,142.7736455177431
69,140.0,177.40016977656808
70,50.1,21.580810611855576
71,220.0,155.75859211480247
72,22.4,30.23744167656183
73,0.009,-8.221004776416777
74,35.6,39.88685941766713
75,107.0,65.8567526117859
76,0.254,13.916966223548378
77,10.0,57.20012154707963
78,34.8,47.55070380597432
79,110.0,112.4754367912712
80,25.2,58.053683712036054
81,63.0,80.19165471200121
82,80.0,129.29230558248418
83,9.3,-0.06076704991004078
84,210.0,86.50554359715245
85,99.9,35.062150547114484
86,5.579,25.9091261442087
87,3.4,20.588023935456512
88,54.0,68.69588812954042
89,18.4,22.573597288254632
90,7.8,9.58865069119527
91,80.0,133.62062111483732
92,309.0,64.86396593538683
93,27.6,39.88685941766713
94,8.57,22.573597288254632
95,408.0,133.12422777663778
96,34.0,48.04709714417386
97,140.0,134.11701445303683
98,23.5,39.3904660794676
99,140.0,147.10196105009624
100,10.2,39.88685941766713
101,52.5,64.3675725971873
102,81.7,48.543490482373386
103,56.8,68.69588812954042
104,62.5,109.13990793531714
105,0.28,5.260335158842139
106,24.0,64.86396593538683
107,12.3,30.23744167656183
108,55.0,120.1392811795784
109,200.0,168.74353871186185
110,0.096,22.573597288254632
111,6.1,-4.88547592046271
112,28.0,44.21517495002026
113,160.0,198.54535410013418
114,19.0,13.916966223548378
115,270.0,160.08690764715558
116,75.0,77.8489125324462
117,12.5,13.916966223548378
118,26.3,104.81159240296401
